Symbol,Date,Open,High,Low,Close,Volume,Premarket High,Morning High,Outstanding Shares,Market Cap,GAP%
ABIL,2017-06-13,1.42,1.66,1.3,1.4,5350412,1.6,1.66,25760000,36579200,21.37
WBKC,2017-06-14,40.25,40.25,38.47,39.55,165754,38.11,40.25,2110000,84927500,25.98
MBVX,2017-06-14,1.75,1.75,1.46,1.56,625289,2.1,1.75,8760000,15330000,22.38
MTBC,2017-06-14,1.89,2.13,1.76,1.8,10791207,2.02,2.1299,11490000,21716100,22.73
XRX,2017-06-15,27.43,28.14,27.18,27.79,3519033,27.65,28.1362,1016580000,27884789400,295.82
HTGM,2017-06-15,4.19,4.19,3.05,3.12,7187366,4.28,4.19,9530000,39930700,33.02
SKLN,2017-06-15,2.1,2.43,1.69,1.72,7440552,2.19,2.43,6190000,12999000,28.83
CLSN,2017-06-16,3.31,3.6,2.77,3.2,7626622,5.35,3.6,4070000,13471700,61.46
BOMN,2017-06-19,17.26,18.84,13.27,13.56,87598,15.85,18.84,5840000,100798400,30.76
CLVS,2017-06-19,87.8,91,84.08,87.88,13815361,92.76,91,44770000,3930806000,46.41
NVDQ,2017-06-19,11.69,11.82,11.63,11.7,25211638,11.78,11.82,57800000,675682000,94.83
RICE,2017-06-19,25.32,25.52,24.45,24.57,66852013,26,25.52,205060000,5192119200,28.59
DCTH,2017-06-19,0.09,0.1,0.08,0.1,237215103,0.1111,0.0967,374400000,32572800,75.4
LPCN,2017-06-20,5.06,5.14,4.16,4.24,8441652,5.55,5.14,19270000,97506200,25.87
MBRX,2017-06-21,1.14,1.3,1.01,1.04,17294186,1.29,1.3,17760000,20246400,34.2
DCTH,2017-06-21,0.3,0.36,0.23,0.27,416175567,0.349,0.3649,374400000,112320000,36.36
TROV,2017-06-22,1.19,1.33,1.1,1.3,7170929,1.35,1.33,30970000,36854300,25.74
DXTR,2017-06-22,0.33,0.35,0.28,0.3,27131720,0.359,0.35,26770000,8850162,22.49
ANY,2017-06-22,0.2,0.29,0.19,0.26,60432012,0.2291,0.28,103280000,20656000,23.61
SNCR,2017-06-23,16.5,17.4,15.65,16.24,16300971,17,17.4,46370000,765105000,35.47
AVEO,2017-06-23,1.13,1.38,1.05,1.25,54894350,1.28,1.38,110360000,124706800,55.26
MRDN,2017-06-26,3,3,2.26,2.28,29554,2.8,3,7340000,22020000,25
ITUS,2017-06-26,0.9,1.14,0.85,1.04,1640469,0.9,1.14,15120000,13608000,21.62
MARA,2017-06-26,0.42,0.55,0.37,0.51,32945828,0.45,0.54,23260000,9769200,25.37
ESES,2017-06-27,1.39,1.39,1.14,1.24,210559,1.35,1.39,15030000,20891700,24.11
TOPS,2017-06-27,0.91,1.04,0.71,0.78,8869185,0.98,1.04,120000,109200,33.82
ANY,2017-06-28,0.25,0.29,0.21,0.22,27479917,0.275,0.289,103280000,25820000,30.48
SPNC,2017-06-28,38.4,38.5,38.35,38.35,32241694,38.5,38.4,43770000,1680768000,26.32
CHFS,2017-06-29,0.8,1.08,0.7,1.08,13152023,0.916,0.83,8890000,7112000,28.51
SPEX,2017-06-29,3.28,4.75,2.83,3.92,39381194,4.75,4.75,4940000,16203200,71.73
WMAR,2017-06-30,12.82,12.85,12.82,12.85,2448032,12.85,12.85,25170000,322679400,32.85
SKLN,2017-06-30,1.75,1.88,1.47,1.47,5378294,1.88,1.88,6190000,10832500,33.59
DPW,2017-06-30,0.72,1.05,0.65,0.72,10768639,0.73,1.05,9220000,6638400,49.81
SPEX,2017-07-03,3.36,3.85,3.03,3.06,10646192,3.49,3.85,4940000,16598400,29.23
OPXA,2017-07-03,1.03,1.35,1,1.17,11569099,1.2,1.35,7660000,7889800,58.46
MTBC,2017-07-05,1.58,1.58,1.39,1.43,892509,1.9,1.58,11450000,18091000,20.61
CLSN,2017-07-05,2.63,3,2.36,2.42,11631435,2.79,3,4070000,10704100,30.2
MSDI,2017-07-05,1.65,2.35,1.53,1.68,22381237,1.93,2.35,8390000,13843500,29.92
DRYS,2017-07-05,1.45,1.45,1.03,1.14,27633902,1.48,1.45,5650000,8192500,40.78
MORE,2017-07-05,11.99,12,11.88,11.89,47844795,12.05,12,167020000,2002569800,22.35
IMUC,2017-07-06,2.11,2.79,1.77,2.12,9457147,2.24,2.79,3460000,7300600,24.12
HSNI,2017-07-06,42.5,42.75,39.1,39.7,10529335,42.9,42.75,52380000,2226150000,35.78
DGLY,2017-07-07,4.8,4.95,4.05,4.2,3519848,5.75,4.95,5680000,27264000,47.69
GLBS,2017-07-07,1.65,1.89,1.25,1.27,9086720,1.82,1.89,27630000,45589500,29.92
HEB,2017-07-10,0.64,0.74,0.51,0.52,7233667,0.68,0.7396,26590000,17017600,24.27
MYCC,2017-07-10,17.07,17.1,17.05,17.05,22613402,17.15,17.1,65530000,1118924750,30.34
ARNA,2017-07-11,25.25,27.86,25.06,26,15004115,26.73,27.86,31740000,801435000,37.3
TEUM,2017-07-11,0.85,1.73,0.79,1.45,17174477,0.8681,1.73,12940000,10997706,37.08
FOLD,2017-07-11,13.02,13.28,11.94,12.92,24010181,14.95,13.2843,142920000,1860818400,26.9
HK,2017-07-11,6.45,6.84,5.87,6.75,28026295,6.7,6.61,149100000,961695000,44.62
NTP,2017-07-12,10.05,10.45,9.78,10,987106,10.9,10.45,36450000,366322500,22.56
IBIO,2017-07-12,0.51,0.55,0.37,0.41,3405425,0.619,0.547,89120000,45005600,39.89
RNVA,2017-07-12,0.46,0.49,0.37,0.37,9674075,0.475,0.495,12580000,5786800,26.72
XGTI,2017-07-13,1.92,2.05,1.76,1.94,6701330,2.09,2.05,11280000,21657600,22.29
SEV,2017-07-17,21.88,22.1,21.67,21.73,767712,21.95,22.0995,5680000,124278400,59.88
TEUM,2017-07-17,1.74,1.76,1.1,1.15,8019733,1.83,1.76,12940000,22515600,26.09
CBAY,2017-07-17,6.9,7.77,5.94,5.98,10776608,7.35,7.77,28750000,198375000,22.12
MBRX,2017-07-18,2.24,2.25,1.93,2.05,14288076,2.25,2.25,18560000,41574400,31.76
CAPR,2017-07-18,0.96,1.62,0.9,1.36,32144248,1.09,1.62,22600000,21696000,40.17
PED,2017-07-19,0.79,0.91,0.63,0.63,1015403,0.79,0.9076,5500000,4345000,20.12
VRTX,2017-07-19,161.8,167,158.88,159.69,16800128,169,167,249070000,40299526000,22.43
AEZS,2017-07-19,1.55,2.8,1.48,2.34,61447485,1.67,2.08,14330000,22211500,51.96
SDPI,2017-07-20,0.8,0.97,0.77,0.79,855996,0.82,0.97,24100000,19280000,23.08
TEUM,2017-07-20,1.29,1.37,1.05,1.15,3606763,1.34,1.37,12940000,16692600,34.38
